step,time,kinetic,potential,total
292,0.58400000,0.05667881,0.21786090,0.27453971
293,0.58600000,0.05341486,0.20714826,0.26056312
294,0.58800000,0.04990640,0.19703680,0.24694320
295,0.59000000,0.04620541,0.18752153,0.23372694
296,0.59200000,0.04236597,0.17859361,0.22095958
297,0.59400000,0.03844344,0.17024103,0.20868447
298,0.59600000,0.03449364,0.16244927,0.19694291
299,0.59800000,0.03057200,0.15520202,0.18577402
300,0.60000000,0.02673279,0.14848183,0.17521461
301,0.60200000,0.02302829,0.14227079,0.16529908
302,0.60400000,0.01950813,0.13655116,0.15605930
303,0.60600000,0.01621857,0.13130596,0.14752453
304,0.60800000,0.01320189,0.12651948,0.13972137
305,0.61000000,0.01049585,0.12217780,0.13267365
306,0.61200000,0.00813324,0.11826918,0.12640242
307,0.61400000,0.00614147,0.11478439,0.12092586
308,0.61600000,0.00454227,0.11171702,0.11625929
309,0.61800000,0.00335148,0.10906366,0.11241514
310,0.62000000,0.00257890,0.10682399,0.10940289
311,0.62200000,0.00222829,0.10500085,0.10722914
312,0.62400000,0.00229738,0.10360018,0.10589756
313,0.62600000,0.00277800,0.10263091,0.10540891
314,0.62800000,0.00365630,0.10210478,0.10576108
315,0.63000000,0.00491301,0.10203609,0.10694910
316,0.63200000,0.00652382,0.10244137,0.10896519
317,0.63400000,0.00845977,0.10333902,0.11179879
318,0.63600000,0.01068772,0.10474887,0.11543660
319,0.63800000,0.01317089,0.10669177,0.11986266
320,0.64000000,0.01586938,0.10918904,0.12505841
321,0.64200000,0.01874079,0.11226195,0.13100274
322,0.64400000,0.02174082,0.11593124,0.13767206
323,0.64600000,0.02482392,0.12021649,0.14504041
324,0.64800000,0.02794391,0.12513563,0.15307953
325,0.65000000,0.03105460,0.13070435,0.16175895
326,0.65200000,0.03411046,0.13693562,0.17104608
327,0.65400000,0.03706720,0.14383913,0.18090634
328,0.65600000,0.03988238,0.15142085,0.19130324
329,0.65800000,0.04251594,0.15968256,0.20219850
330,0.66000000,0.04493074,0.16862146,0.21355220
331,0.66200000,0.04709302,0.17822984,0.22532286
332,0.66400000,0.04897283,0.18849476,0.23746759
333,0.66600000,0.05054442,0.19939780,0.24994222
334,0.66800000,0.05178653,0.21091491,0.26270144
335,0.67000000,0.05268265,0.22301630,0.27569895
336,0.67200000,0.05322121,0.23566638,0.28888759
337,0.67400000,0.05339570,0.24882378,0.30221948
338,0.67600000,0.05320472,0.26244149,0.31564621
339,0.67800000,0.05265198,0.27646698,0.32911897
340,0.68000000,0.05174620,0.29084249,0.34258868
341,0.68200000,0.05050096,0.30550527,0.35600623
